id,lat,long,village,bed_hygiene,bird_nests_inside,chicken_coop_location,bedroom_clutter,dark_main_room,floor_type,construction_pile_type,firewood_location,grain_storage_in_house,house_age,house_hygiene,kitchen_location,land_for_agriculture,num_humans,num_chickens,num_dogs,num_pigs,sign_animals,sign_rats,condition_bedroom_wall,condition_house_wall,material_house_wall,material_roof,windows_in_bedroom,dist_perim,density,infestation,truth
8E_Amatillo,1123.67893847865,177.96902534214507,Amatillo,mala,no,adj_inside,si_acumula,si,tierra,ninguno,adentro_casa,si,2_to_6,mala,adentro_casa,owned,3,2,0,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,49.98977954446261,2,0,0
9_Amatillo,1123.6182293560594,178.06746311613375,Amatillo,mala,no,no,si_acumula,si,tierra,wood_ceram_metal,ninguno,si,7_or_more,mala,adentro_casa,rented,7,1,4,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,180.43580111306375,5,0,0
10_Amatillo,1123.6521699705095,178.0989144292414,Amatillo,buena,si,afuera_casa,si_acumula,no,tierra,ninguno,ninguno,no,7_or_more,mala,adentro_casa,owned,2,18,3,1,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,209.239641354737,7,0,0
11_Amatillo,1123.690066539148,178.13275373831831,Amatillo,mala,no,adj_inside,si_acumula,no,tierra,wood_ceram_metal,adentro_casa,si,7_or_more,mala,shared_none,owned,3,0,1,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,242.08831563923147,7,0,0
11A_Amatillo,1123.6875298922985,178.13118186775398,Amatillo,buena,no,afuera_casa,no_acumula,no,tierra,ninguno,ninguno,no,7_or_more,buena,adentro_casa,owned,1,12,0,0,FALSE,FALSE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,239.51654220662897,7,0,0
13_Amatillo,1123.6729950135639,178.18711133448346,Amatillo,buena,no,afuera_casa,si_acumula,si,tierra,adobe_clay,adentro_casa,si,2_to_6,mala,adentro_casa,owned,6,20,0,0,FALSE,FALSE,buen_estado,buen_estado,adobe,alum_cement,TRUE,189.8380079416144,7,0,0
14_Amatillo,1123.6904480435303,178.21119057419702,Amatillo,buena,no,afuera_casa,no_acumula,si,tierra,ninguno,ninguno,si,2_to_6,buena,adentro_casa,owned,3,22,2,0,FALSE,TRUE,deterioradas,deterioradas,adobe,alum_cement,FALSE,200.39520698169284,5,0,0
14A_Amatillo,1123.6891972785195,178.20947593321867,Amatillo,mala,no,adj_inside,si_acumula,si,tierra,ninguno,ninguno,si,7_or_more,mala,shared_none,owned,6,0,0,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,199.63271599519257,5,0,0
15B_Amatillo,1123.7523799845594,178.1346243787246,Amatillo,buena,no,afuera_casa,no_acumula,no,tierra,ninguno,adentro_casa,no,one_or_less,mala,afuera_casa,rented,4,7,4,0,FALSE,FALSE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,200.52806394656065,4,0,0
15C_Amatillo,1123.775078082844,178.15213759714462,Amatillo,buena,si,afuera_casa,si_acumula,no,tierra,ninguno,adentro_casa,si,2_to_6,buena,adentro_casa,rented,4,13,3,0,TRUE,FALSE,deterioradas,deterioradas,bajareque,alum_cement,TRUE,205.24528585395583,2,0,0
